value,datetime,datetime_utc,tz_time,geo_id,geo_name
50.0,2025-04-27 00:00:00+02:00,2025-04-26T22:00:00Z,2025-04-26T22:00:00.000Z,8741,Península
50.0,2025-04-27 00:15:00+02:00,2025-04-26T22:15:00Z,2025-04-26T22:15:00.000Z,8741,Península
50.0,2025-04-27 00:30:00+02:00,2025-04-26T22:30:00Z,2025-04-26T22:30:00.000Z,8741,Península
50.0,2025-04-27 00:45:00+02:00,2025-04-26T22:45:00Z,2025-04-26T22:45:00.000Z,8741,Península
35.0,2025-04-27 01:00:00+02:00,2025-04-26T23:00:00Z,2025-04-26T23:00:00.000Z,8741,Península
45.0,2025-04-27 01:15:00+02:00,2025-04-26T23:15:00Z,2025-04-26T23:15:00.000Z,8741,Península
50.0,2025-04-27 01:30:00+02:00,2025-04-26T23:30:00Z,2025-04-26T23:30:00.000Z,8741,Península
52.25,2025-04-27 01:45:00+02:00,2025-04-26T23:45:00Z,2025-04-26T23:45:00.000Z,8741,Península
0.0,2025-04-27 02:00:00+02:00,2025-04-27T00:00:00Z,2025-04-27T00:00:00.000Z,8741,Península
0.0,2025-04-27 02:15:00+02:00,2025-04-27T00:15:00Z,2025-04-27T00:15:00.000Z,8741,Península
4.75,2025-04-27 02:30:00+02:00,2025-04-27T00:30:00Z,2025-04-27T00:30:00.000Z,8741,Península
18.0,2025-04-27 02:45:00+02:00,2025-04-27T00:45:00Z,2025-04-27T00:45:00.000Z,8741,Península
0.0,2025-04-27 03:00:00+02:00,2025-04-27T01:00:00Z,2025-04-27T01:00:00.000Z,8741,Península
0.0,2025-04-27 03:15:00+02:00,2025-04-27T01:15:00Z,2025-04-27T01:15:00.000Z,8741,Península
0.0,2025-04-27 03:30:00+02:00,2025-04-27T01:30:00Z,2025-04-27T01:30:00.000Z,8741,Península
0.0,2025-04-27 03:45:00+02:00,2025-04-27T01:45:00Z,2025-04-27T01:45:00.000Z,8741,Península
0.0,2025-04-27 04:00:00+02:00,2025-04-27T02:00:00Z,2025-04-27T02:00:00.000Z,8741,Península
0.0,2025-04-27 04:15:00+02:00,2025-04-27T02:15:00Z,2025-04-27T02:15:00.000Z,8741,Península
0.0,2025-04-27 04:30:00+02:00,2025-04-27T02:30:00Z,2025-04-27T02:30:00.000Z,8741,Península
0.0,2025-04-27 04:45:00+02:00,2025-04-27T02:45:00Z,2025-04-27T02:45:00.000Z,8741,Península
25.25,2025-04-27 05:00:00+02:00,2025-04-27T03:00:00Z,2025-04-27T03:00:00.000Z,8741,Península
75.0,2025-04-27 05:15:00+02:00,2025-04-27T03:15:00Z,2025-04-27T03:15:00.000Z,8741,Península
80.0,2025-04-27 05:30:00+02:00,2025-04-27T03:30:00Z,2025-04-27T03:30:00.000Z,8741,Península
90.0,2025-04-27 05:45:00+02:00,2025-04-27T03:45:00Z,2025-04-27T03:45:00.000Z,8741,Península
0.25,2025-04-27 06:00:00+02:00,2025-04-27T04:00:00Z,2025-04-27T04:00:00.000Z,8741,Península
87.5,2025-04-27 06:15:00+02:00,2025-04-27T04:15:00Z,2025-04-27T04:15:00.000Z,8741,Península
87.5,2025-04-27 06:30:00+02:00,2025-04-27T04:30:00Z,2025-04-27T04:30:00.000Z,8741,Península
87.5,2025-04-27 06:45:00+02:00,2025-04-27T04:45:00Z,2025-04-27T04:45:00.000Z,8741,Península
20.75,2025-04-27 07:00:00+02:00,2025-04-27T05:00:00Z,2025-04-27T05:00:00.000Z,8741,Península
57.5,2025-04-27 07:15:00+02:00,2025-04-27T05:15:00Z,2025-04-27T05:15:00.000Z,8741,Península
57.5,2025-04-27 07:30:00+02:00,2025-04-27T05:30:00Z,2025-04-27T05:30:00.000Z,8741,Península
57.5,2025-04-27 07:45:00+02:00,2025-04-27T05:45:00Z,2025-04-27T05:45:00.000Z,8741,Península
0.25,2025-04-27 08:00:00+02:00,2025-04-27T06:00:00Z,2025-04-27T06:00:00.000Z,8741,Península
0.25,2025-04-27 08:15:00+02:00,2025-04-27T06:15:00Z,2025-04-27T06:15:00.000Z,8741,Península
