value,datetime,datetime_utc,tz_time,geo_id,geo_name
37.5,2025-07-16 00:00:00+02:00,2025-07-15T22:00:00Z,2025-07-15T22:00:00.000Z,8741,Península
37.5,2025-07-16 00:15:00+02:00,2025-07-15T22:15:00Z,2025-07-15T22:15:00.000Z,8741,Península
37.5,2025-07-16 00:30:00+02:00,2025-07-15T22:30:00Z,2025-07-15T22:30:00.000Z,8741,Península
37.5,2025-07-16 00:45:00+02:00,2025-07-15T22:45:00Z,2025-07-15T22:45:00.000Z,8741,Península
50.0,2025-07-16 01:00:00+02:00,2025-07-15T23:00:00Z,2025-07-15T23:00:00.000Z,8741,Península
50.0,2025-07-16 01:15:00+02:00,2025-07-15T23:15:00Z,2025-07-15T23:15:00.000Z,8741,Península
50.0,2025-07-16 01:30:00+02:00,2025-07-15T23:30:00Z,2025-07-15T23:30:00.000Z,8741,Península
50.0,2025-07-16 01:45:00+02:00,2025-07-15T23:45:00Z,2025-07-15T23:45:00.000Z,8741,Península
0.0,2025-07-16 02:00:00+02:00,2025-07-16T00:00:00Z,2025-07-16T00:00:00.000Z,8741,Península
0.0,2025-07-16 02:15:00+02:00,2025-07-16T00:15:00Z,2025-07-16T00:15:00.000Z,8741,Península
7.25,2025-07-16 02:30:00+02:00,2025-07-16T00:30:00Z,2025-07-16T00:30:00.000Z,8741,Península
63.75,2025-07-16 02:45:00+02:00,2025-07-16T00:45:00Z,2025-07-16T00:45:00.000Z,8741,Península
25.0,2025-07-16 03:00:00+02:00,2025-07-16T01:00:00Z,2025-07-16T01:00:00.000Z,8741,Península
25.0,2025-07-16 03:15:00+02:00,2025-07-16T01:15:00Z,2025-07-16T01:15:00.000Z,8741,Península
25.0,2025-07-16 03:30:00+02:00,2025-07-16T01:30:00Z,2025-07-16T01:30:00.000Z,8741,Península
25.0,2025-07-16 03:45:00+02:00,2025-07-16T01:45:00Z,2025-07-16T01:45:00.000Z,8741,Península
0.0,2025-07-16 04:00:00+02:00,2025-07-16T02:00:00Z,2025-07-16T02:00:00.000Z,8741,Península
0.0,2025-07-16 04:15:00+02:00,2025-07-16T02:15:00Z,2025-07-16T02:15:00.000Z,8741,Península
0.0,2025-07-16 04:30:00+02:00,2025-07-16T02:30:00Z,2025-07-16T02:30:00.000Z,8741,Península
0.0,2025-07-16 04:45:00+02:00,2025-07-16T02:45:00Z,2025-07-16T02:45:00.000Z,8741,Península
25.0,2025-07-16 05:00:00+02:00,2025-07-16T03:00:00Z,2025-07-16T03:00:00.000Z,8741,Península
25.0,2025-07-16 05:15:00+02:00,2025-07-16T03:15:00Z,2025-07-16T03:15:00.000Z,8741,Península
25.0,2025-07-16 05:30:00+02:00,2025-07-16T03:30:00Z,2025-07-16T03:30:00.000Z,8741,Península
25.0,2025-07-16 05:45:00+02:00,2025-07-16T03:45:00Z,2025-07-16T03:45:00.000Z,8741,Península
0.0,2025-07-16 06:00:00+02:00,2025-07-16T04:00:00Z,2025-07-16T04:00:00.000Z,8741,Península
0.0,2025-07-16 06:15:00+02:00,2025-07-16T04:15:00Z,2025-07-16T04:15:00.000Z,8741,Península
0.0,2025-07-16 06:30:00+02:00,2025-07-16T04:30:00Z,2025-07-16T04:30:00.000Z,8741,Península
0.0,2025-07-16 06:45:00+02:00,2025-07-16T04:45:00Z,2025-07-16T04:45:00.000Z,8741,Península
37.5,2025-07-16 07:00:00+02:00,2025-07-16T05:00:00Z,2025-07-16T05:00:00.000Z,8741,Península
37.5,2025-07-16 07:15:00+02:00,2025-07-16T05:15:00Z,2025-07-16T05:15:00.000Z,8741,Península
37.5,2025-07-16 07:30:00+02:00,2025-07-16T05:30:00Z,2025-07-16T05:30:00.000Z,8741,Península
37.5,2025-07-16 07:45:00+02:00,2025-07-16T05:45:00Z,2025-07-16T05:45:00.000Z,8741,Península
0.0,2025-07-16 08:00:00+02:00,2025-07-16T06:00:00Z,2025-07-16T06:00:00.000Z,8741,Península
8.25,2025-07-16 08:15:00+02:00,2025-07-16T06:15:00Z,2025-07-16T06:15:00.000Z,8741,Península
53.75,2025-07-16 08:30:00+02:00,2025-07-16T06:30:00Z,2025-07-16T06:30:00.000Z,8741,Península
82.5,2025-07-16 08:45:00+02:00,2025-07-16T06:45:00Z,2025-07-16T06:45:00.000Z,8741,Península
0.0,2025-07-16 09:00:00+02:00,2025-07-16T07:00:00Z,2025-07-16T07:00:00.000Z,8741,Península
16.5,2025-07-16 09:15:00+02:00,2025-07-16T07:15:00Z,2025-07-16T07:15:00.000Z,8741,Península
6.0,2025-07-16 09:30:00+02:00,2025-07-16T07:30:00Z,2025-07-16T07:30:00.000Z,8741,Península
20.25,2025-07-16 09:45:00+02:00,2025-07-16T07:45:00Z,2025-07-16T07:45:00.000Z,8741,Península
0.0,2025-07-16 10:00:00+02:00,2025-07-16T08:00:00Z,2025-07-16T08:00:00.000Z,8741,Península
0.0,2025-07-16 10:15:00+02:00,2025-07-16T08:15:00Z,2025-07-16T08:15:00.000Z,8741,Península
0.0,2025-07-16 10:30:00+02:00,2025-07-16T08:30:00Z,2025-07-16T08:30:00.000Z,8741,Península
0.0,2025-07-16 10:45:00+02:00,2025-07-16T08:45:00Z,2025-07-16T08:45:00.000Z,8741,Península
0.0,2025-07-16 11:00:00+02:00,2025-07-16T09:00:00Z,2025-07-16T09:00:00.000Z,8741,Península
0.0,2025-07-16 11:15:00+02:00,2025-07-16T09:15:00Z,2025-07-16T09:15:00.000Z,8741,Península
0.0,2025-07-16 11:30:00+02:00,2025-07-16T09:30:00Z,2025-07-16T09:30:00.000Z,8741,Península
0.0,2025-07-16 11:45:00+02:00,2025-07-16T09:45:00Z,2025-07-16T09:45:00.000Z,8741,Península
0.0,2025-07-16 12:00:00+02:00,2025-07-16T10:00:00Z,2025-07-16T10:00:00.000Z,8741,Península
0.0,2025-07-16 12:15:00+02:00,2025-07-16T10:15:00Z,2025-07-16T10:15:00.000Z,8741,Península
0.0,2025-07-16 12:30:00+02:00,2025-07-16T10:30:00Z,2025-07-16T10:30:00.000Z,8741,Península
0.0,2025-07-16 12:45:00+02:00,2025-07-16T10:45:00Z,2025-07-16T10:45:00.000Z,8741,Península
0.0,2025-07-16 13:00:00+02:00,2025-07-16T11:00:00Z,2025-07-16T11:00:00.000Z,8741,Península
0.0,2025-07-16 13:15:00+02:00,2025-07-16T11:15:00Z,2025-07-16T11:15:00.000Z,8741,Península
0.0,2025-07-16 13:30:00+02:00,2025-07-16T11:30:00Z,2025-07-16T11:30:00.000Z,8741,Península
0.0,2025-07-16 13:45:00+02:00,2025-07-16T11:45:00Z,2025-07-16T11:45:00.000Z,8741,Península
0.0,2025-07-16 14:00:00+02:00,2025-07-16T12:00:00Z,2025-07-16T12:00:00.000Z,8741,Península
0.0,2025-07-16 14:15:00+02:00,2025-07-16T12:15:00Z,2025-07-16T12:15:00.000Z,8741,Península
0.0,2025-07-16 14:30:00+02:00,2025-07-16T12:30:00Z,2025-07-16T12:30:00.000Z,8741,Península
0.0,2025-07-16 14:45:00+02:00,2025-07-16T12:45:00Z,2025-07-16T12:45:00.000Z,8741,Península
0.0,2025-07-16 15:00:00+02:00,2025-07-16T13:00:00Z,2025-07-16T13:00:00.000Z,8741,Península
0.0,2025-07-16 15:15:00+02:00,2025-07-16T13:15:00Z,2025-07-16T13:15:00.000Z,8741,Península
0.0,2025-07-16 15:30:00+02:00,2025-07-16T13:30:00Z,2025-07-16T13:30:00.000Z,8741,Península
0.0,2025-07-16 15:45:00+02:00,2025-07-16T13:45:00Z,2025-07-16T13:45:00.000Z,8741,Península
0.0,2025-07-16 16:00:00+02:00,2025-07-16T14:00:00Z,2025-07-16T14:00:00.000Z,8741,Península
0.0,2025-07-16 16:15:00+02:00,2025-07-16T14:15:00Z,2025-07-16T14:15:00.000Z,8741,Península
0.0,2025-07-16 16:30:00+02:00,2025-07-16T14:30:00Z,2025-07-16T14:30:00.000Z,8741,Península
0.0,2025-07-16 16:45:00+02:00,2025-07-16T14:45:00Z,2025-07-16T14:45:00.000Z,8741,Península
0.0,2025-07-16 17:00:00+02:00,2025-07-16T15:00:00Z,2025-07-16T15:00:00.000Z,8741,Península
0.0,2025-07-16 17:15:00+02:00,2025-07-16T15:15:00Z,2025-07-16T15:15:00.000Z,8741,Península
0.0,2025-07-16 17:30:00+02:00,2025-07-16T15:30:00Z,2025-07-16T15:30:00.000Z,8741,Península
0.0,2025-07-16 17:45:00+02:00,2025-07-16T15:45:00Z,2025-07-16T15:45:00.000Z,8741,Península
0.0,2025-07-16 18:00:00+02:00,2025-07-16T16:00:00Z,2025-07-16T16:00:00.000Z,8741,Península
0.0,2025-07-16 18:15:00+02:00,2025-07-16T16:15:00Z,2025-07-16T16:15:00.000Z,8741,Península
0.0,2025-07-16 18:30:00+02:00,2025-07-16T16:30:00Z,2025-07-16T16:30:00.000Z,8741,Península
0.0,2025-07-16 18:45:00+02:00,2025-07-16T16:45:00Z,2025-07-16T16:45:00.000Z,8741,Península
0.0,2025-07-16 19:00:00+02:00,2025-07-16T17:00:00Z,2025-07-16T17:00:00.000Z,8741,Península
0.0,2025-07-16 19:15:00+02:00,2025-07-16T17:15:00Z,2025-07-16T17:15:00.000Z,8741,Península
0.0,2025-07-16 19:30:00+02:00,2025-07-16T17:30:00Z,2025-07-16T17:30:00.000Z,8741,Península
0.0,2025-07-16 19:45:00+02:00,2025-07-16T17:45:00Z,2025-07-16T17:45:00.000Z,8741,Península
0.0,2025-07-16 20:00:00+02:00,2025-07-16T18:00:00Z,2025-07-16T18:00:00.000Z,8741,Península
0.0,2025-07-16 20:15:00+02:00,2025-07-16T18:15:00Z,2025-07-16T18:15:00.000Z,8741,Península
0.0,2025-07-16 20:30:00+02:00,2025-07-16T18:30:00Z,2025-07-16T18:30:00.000Z,8741,Península
0.0,2025-07-16 20:45:00+02:00,2025-07-16T18:45:00Z,2025-07-16T18:45:00.000Z,8741,Península
11.0,2025-07-16 21:00:00+02:00,2025-07-16T19:00:00Z,2025-07-16T19:00:00.000Z,8741,Península
