value,datetime,datetime_utc,tz_time,geo_id,geo_name
56.25,2025-11-20 00:00:00+01:00,2025-11-19T23:00:00Z,2025-11-19T23:00:00.000Z,8741,Península
31.5,2025-11-20 00:15:00+01:00,2025-11-19T23:15:00Z,2025-11-19T23:15:00.000Z,8741,Península
0.25,2025-11-20 00:30:00+01:00,2025-11-19T23:30:00Z,2025-11-19T23:30:00.000Z,8741,Península
6.5,2025-11-20 00:45:00+01:00,2025-11-19T23:45:00Z,2025-11-19T23:45:00.000Z,8741,Península
36.5,2025-11-20 01:00:00+01:00,2025-11-20T00:00:00Z,2025-11-20T00:00:00.000Z,8741,Península
32.0,2025-11-20 01:15:00+01:00,2025-11-20T00:15:00Z,2025-11-20T00:15:00.000Z,8741,Península
35.0,2025-11-20 01:30:00+01:00,2025-11-20T00:30:00Z,2025-11-20T00:30:00.000Z,8741,Península
15.0,2025-11-20 01:45:00+01:00,2025-11-20T00:45:00Z,2025-11-20T00:45:00.000Z,8741,Península
0.0,2025-11-20 02:00:00+01:00,2025-11-20T01:00:00Z,2025-11-20T01:00:00.000Z,8741,Península
0.0,2025-11-20 02:15:00+01:00,2025-11-20T01:15:00Z,2025-11-20T01:15:00.000Z,8741,Península
0.0,2025-11-20 02:30:00+01:00,2025-11-20T01:30:00Z,2025-11-20T01:30:00.000Z,8741,Península
0.0,2025-11-20 02:45:00+01:00,2025-11-20T01:45:00Z,2025-11-20T01:45:00.000Z,8741,Península
12.5,2025-11-20 03:00:00+01:00,2025-11-20T02:00:00Z,2025-11-20T02:00:00.000Z,8741,Península
0.0,2025-11-20 03:15:00+01:00,2025-11-20T02:15:00Z,2025-11-20T02:15:00.000Z,8741,Península
0.0,2025-11-20 03:30:00+01:00,2025-11-20T02:30:00Z,2025-11-20T02:30:00.000Z,8741,Península
0.0,2025-11-20 03:45:00+01:00,2025-11-20T02:45:00Z,2025-11-20T02:45:00.000Z,8741,Península
0.0,2025-11-20 04:00:00+01:00,2025-11-20T03:00:00Z,2025-11-20T03:00:00.000Z,8741,Península
0.0,2025-11-20 04:15:00+01:00,2025-11-20T03:15:00Z,2025-11-20T03:15:00.000Z,8741,Península
0.0,2025-11-20 04:30:00+01:00,2025-11-20T03:30:00Z,2025-11-20T03:30:00.000Z,8741,Península
0.0,2025-11-20 04:45:00+01:00,2025-11-20T03:45:00Z,2025-11-20T03:45:00.000Z,8741,Península
